LMem%,Xput,XputNorm,XputErr,XputErrNorm,Faults,FaultsErr,NetReads,NetReadsErr,HitR,Count,System,Backend,EvP,EvB,CPU,Zipfs
4.999248798076923,235883.0,0.5457664765562639,0,0,,,,,,,,,,,,
8.330829326923077,251069.0,0.580902580951169,0,0,,,,,,,,,,,,
16.69921875,386000.0,0.8930947120000926,0,0,,,,,,,,,,,,
22.243088942307693,429257.0,0.9931791626658646,0,0,,,,,,,,,,,,
33.78155048076923,423376.0,0.9795721937506506,0,0,,,,,,,,,,,,
41.66541466346154,437708.0,1.0127323839381774,0,0,,,,,,,,,,,,
50.0,438303.0,1.014109045476105,0,0,,,,,,,,,,,,
58.33458533653846,439293.0,1.0163996251778669,0,0,,,,,,,,,,,,
66.66541466346153,437810.0,1.012968383058965,0,0,,,,,,,,,,,,
75.0,439460.0,1.0167860158952349,0,0,,,,,,,,,,,,
83.33458533653847,441740.0,1.0220612903598987,0,0,,,,,,,,,,,,
91.66541466346153,447232.0,1.034768223412501,0,0,,,,,,,,,,,,
100.0,401607.0,0.9292048911974642,0,0,,,,,,,,,,,,
