LMem%,Xput,XputErr,Faults,FaultsErr,NetReads,NetReadsErr,KFaults,KFaultsErr,HitR,Count,System,Backend,EvP,EvB,CPU,Zipfs,XputNorm,XputErrNorm
100,510482,0,15292,0,15001,,2,,0,1,eden,,NONE,32,10,,0.982412,
91,507515,0,16582,0,16470,,0,,0,1,eden,,NONE,32,10,,0.976702,
83,507394,0,16873,0,16537,,0,,0,1,eden,,NONE,32,10,,0.976469,
75,505152,0,16861,0,16368,,0,,0,1,eden,,NONE,32,10,,0.972155,
66,504490,0,16576,0,16220,,0,,0,1,eden,,NONE,32,10,,0.970881,
58,511579,0,16645,0,16367,,0,,0,1,eden,,NONE,32,10,,0.984523,
50,507717,0,16711,0,16368,,0,,0,1,eden,,NONE,32,10,,0.977091,
41,488085,0,139180,0,70473,,19,,0,1,eden,,NONE,32,10,,0.93931,
33,455272,0,266063,0,170344,,443,,0,1,eden,,NONE,32,10,,0.876162,
22,118380,0,1076726,0,1076486,,84,,0,1,eden,,NONE,32,10,,0.22782,
16,92686,0,1157473,0,1140329,,67,,0,1,eden,,NONE,32,10,,0.178372,
8,159940,0,1473826,0,1084498,,60,,0,1,eden,,NONE,32,10,,0.307801,
4,56060,0,1273858,0,1176646,,55,,0,1,eden,,NONE,32,10,,0.107886,
